AGID,AGRICULTUR
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1,Rainfed herbaceous crop
AG-5,Rainfed tree crop
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1,Rainfed herbaceous crop
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1,Rainfed herbaceous crop
AG-2,Irrigated herbaceous crop
AG-5B,Scattered (in natural vegetation or other) Rainfed tree crop (field density 20-40% of polygon area)
AG-5B,Scattered (in natural vegetation or other) Rainfed tree crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-5B,Scattered (in natural vegetation or other) Rainfed tree crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-5B,Scattered (in natural vegetation or other) Rainfed tree crop (field density 20-40% of polygon area)
AG-1,Rainfed herbaceous crop
AG-1,Rainfed herbaceous crop
AG-2,Irrigated herbaceous crop
AG-5B,Scattered (in natural vegetation or other) Rainfed tree crop (field density 20-40% of polygon area)
AG-5B,Scattered (in natural vegetation or other) Rainfed tree crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1C,Isolated (in natural vegetation or other) Rainfed herbaceous crop (field density 10-20% polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
AG-1B,Scattered (in natural vegetation or other) Rainfed herbaceous crop (field density 20-40% of polygon area)
